"id","zip_code","municipality","county","lat","lng","locality","locations"
35460,11234,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35461,11235,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,500013,600053,600044}"
35462,11236,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35463,11237,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35464,11238,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35465,11239,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35466,11240,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600044}"
35467,11241,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600044}"
35468,11242,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600044}"
35469,11243,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600070,600071,600102}"
35470,11244,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600070}"
35471,11245,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600102}"
35472,11246,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35473,11247,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35474,11248,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400020,500013,600102}"
35475,11249,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600102}"
35476,11250,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600102}"
35477,11251,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600070,600102}"
35478,11252,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500005,500013,600071,600070,600072}"
35479,11253,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500005,500013,600070,600072}"
35480,11254,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600071,600073}"
