"id","created","modified","rating","text","venueid","venuename","agentid","agentname","invite_id"
315799,"2018-03-02 16:53:44.377","2018-03-02 16:54:05.78",5,"Vi är oerhört nöjda med Bo-Gunnar som mäklare. Han är kunnig, kompetent och noggrann. Han har sett till att vi fått hjälp med styling inför försäljningen och han har sammanställt ett snyggt, säljande och informativt prospekt och annonsmaterial. Han har varit lätt att få kontakt med och han har arbetat snabbt och effektivt i försäljningsprocessen, men har ändå hunnit med att anstränga sig det där lilla extra som man som kund verkligen uppskattar. Han har våra varmaste rekommendationer!",574903,"Mäklarcity ",,,1729966
315821,"2018-03-02 17:44:18.489","2018-03-02 17:45:05.681",5,"Mycket bra. Lyssnar in vad man söker. ",1711469,"Svenska Mäklarhuset Bromma",3809,"Marcus Hemrin",1730899
315846,"2018-03-02 18:35:53.497","2018-03-02 18:36:05.778",5,"Vi har varit otroligt nöjda med Maria som vår mäklare. Hon har en stor drivkraft och ett professionellt kundbemötande. Maria är alltid snabb med återkoppling och vi kände oss trygga under hela processen. Hon är fantastisk på alla sätt! Vi kan varmt rekommendera Maria!",3673341,"Svenska Mäklarhuset Uppsala",2050,"Maria Persson",1731093
315862,"2018-03-02 19:40:14.878","2018-03-02 19:41:05.62",5,"Proffsigt utfört, okomplicerat och bra uppföljning!   ",574903,"Mäklarcity ",,,1730148
315886,"2018-03-02 21:58:13.978","2018-03-02 21:59:05.71",5,"Duktig mäklare som vi återkommer till. ",574903,"Mäklarcity ",,,1730008
315894,"2018-03-02 23:46:46.659","2018-03-02 23:47:06.089",5,"Very customer-minded, I was delighted with his service and dedication to aid me with the language barrier. Fair to both the seller and the buyer. I recommend him as a broker.",3549444,"Svenska Mäklarhuset Södermalm",4843,"Jonathan Razai ",1726680
315948,"2018-03-03 09:03:42.979","2018-03-03 09:05:48.318",5,"Mycket trevligt bemötande och smidig affär.",4013489,"HusmanHagberg Norrköping",,,1729293
315966,"2018-03-03 09:36:41.375","2018-03-03 09:36:47.096",4,"Upplevt sakligt och trevligt  bemötande av Ulrika Andersson. Mvh ",3549984,"HusmanHagberg Värmdö",2824,"Ulrika Andersson",1729893
315975,"2018-03-03 09:50:19.937","2018-03-03 09:50:47.715",4,"Trevligt bemötande, kunnig personal.",4013498,"HusmanHagberg Kalix",,,1729336
315978,"2018-03-03 09:55:44.89","2018-03-03 09:55:48.62",5,"Mycket kunnig mäklare, lätt att få tag på och snabb återkoppling. Vi kände oss trygga genom hela affären! Kan varmt rekomendera Fredrik! ",1711469,"Svenska Mäklarhuset Bromma",1949,"Fredrik Wolffelt",1729392
316005,"2018-03-03 11:28:43.471","2018-03-03 11:29:35.37",5,"Malin är en jätte trevlig person och mycket hjälpsam. Hon var duktig på att svara snabbt på emails och sms. Desuttom är hon snäll och lever upp til våra förväntan så klart. ",4011946,"Våningen & Villan Limhamn Hyllie",3197,"Malin Schön",1729423
316023,"2018-03-03 13:01:03.485","2018-03-03 13:01:35.152",5,"Allt var jättebra. Duktig och kunnig mäklare. BG. Engagerad!",574903,"Mäklarcity ",,,1730160
316026,"2018-03-03 13:12:18.868","2018-03-03 13:12:35.171",5,"Duktiga, lovar vad de håller, trevligt bemötande",574903,"Mäklarcity ",,,1730140
316027,"2018-03-03 13:15:46.178","2018-03-03 13:15:49.379",4,"Bra och trevligt bemötande. Saknade återkoppling i samband med att avtalet skulle tecknas gällande medlemskap i bostadsrättsföreningen som drog ut på tiden.",574903,"Mäklarcity ",,,1730165
316030,"2018-03-03 13:21:02.772","2018-03-03 13:21:35.142",5,"Professionellt och gott bemötande. Väl genomfört arbete.",574903,"Mäklarcity ",,,1730085
316032,"2018-03-03 13:25:13.008","2018-03-03 13:25:35.847",5,"Snabb kommunikation, engagerad och mycket kunnig. Skulle rekommendera Marcus alla dagar i veckan! Tack för all hjälp med försäljningen av vår lägenhet! ",1711469,"Svenska Mäklarhuset Bromma",3809,"Marcus Hemrin",1730901
316037,"2018-03-03 13:37:24.975","2018-03-03 13:37:35.771",5,"Blev rekommenderad att anlita Mäklarcity och mina förväntningar kunde inte ha blivit bättre. Från första träff med mäklare och alla steg till en slutlig försäljning och träff med köpare kan jag inge annat än varmt rekommendera "" Mäklarcity"" vid en försäljning av bostad!",574903,"Mäklarcity ",,,1730084
316043,"2018-03-03 13:56:22.331","2018-03-03 13:56:34.403",5,"Allt var topp! Trevligt bemötande och vi fick den hjälp vi behövde vid försäljning. Engagerad mäklare! Vi är väldigt nöjda! ",3549979,"HusmanHagberg Täby",5225,"Patrik Borin",1729262
316045,"2018-03-03 13:57:28.379","2018-03-03 13:57:36.034",5,"Jag tycker att vi fick den hjälp o de råd vi behövde vid försäljningen av lägenheten. Mäklarcity Umeå kan verkligen rekommenderas vid försäljning eller köp av bostad. ",574903,"Mäklarcity ",,,1730100
316047,"2018-03-03 14:22:36.504","2018-03-03 14:22:49.342",5,"Otroligt bra bemötande och perfekt genomfört",574903,"Mäklarcity ",,,1729967
